Date,Lunar Eclipse Intensity Type
1929-05-23,Penumbral
1929-11-17,Penumbral
1930-04-13,Partial
1930-10-07,Partial
1931-04-02,Total
1931-09-26,Total
1932-03-22,Partial
1932-09-14,Partial
1933-02-10,Penumbral
1933-03-12,Penumbral
1933-08-05,Penumbral
1933-09-04,Penumbral
1934-01-30,Partial
1934-07-26,Partial
1935-01-19,Total
1935-07-16,Total
1936-01-08,Total
1936-07-04,Partial
1936-12-28,Penumbral
1937-05-25,Penumbral
1937-11-18,Partial
1938-05-14,Total
1938-11-07,Total
1939-05-03,Total
1939-10-28,Partial
1940-03-23,Penumbral
1940-04-22,Penumbral
1940-10-16,Penumbral
1941-03-13,Partial
1941-09-05,Partial
1942-03-03,Total
1942-08-26,Total
1943-02-20,Partial
1943-08-15,Partial
1944-02-09,Penumbral
1944-07-06,Penumbral
1944-08-04,Penumbral
1944-12-29,Penumbral
1945-06-25,Partial
1945-12-19,Total
1946-06-14,Total
1946-12-08,Total
1947-06-03,Partial
1947-11-28,Penumbral
1948-04-23,Partial
1948-10-18,Penumbral
1949-04-13,Total
1949-10-07,Total
1950-04-02,Total
1950-09-26,Total
1951-03-23,Penumbral
1951-08-17,Penumbral
1951-09-15,Penumbral
1952-02-11,Partial
1952-08-05,Partial
1953-01-29,Total
1953-07-26,Total
1954-01-19,Total
1954-07-16,Partial
1955-01-08,Penumbral
1955-06-05,Penumbral
1955-11-29,Partial
1956-05-24,Partial
1956-11-18,Total
1957-05-13,Total
1957-11-07,Total
1958-04-04,Penumbral
1958-05-03,Partial
1958-10-27,Penumbral
1959-03-24,Partial
1959-09-17,Penumbral
1960-03-13,Total
1960-09-05,Total
1961-03-02,Partial
1961-08-26,Partial
1962-02-19,Penumbral
1962-07-17,Penumbral
1962-08-15,Penumbral
1963-01-09,Penumbral
1963-07-06,Partial
1963-12-30,Total
1964-06-25,Total
1964-12-19,Total
1965-06-14,Partial
1965-12-08,Penumbral
1966-05-04,Penumbral
1966-10-29,Penumbral
1967-04-24,Total
1967-10-18,Total
1968-04-13,Total
1968-10-06,Total
1969-04-02,Penumbral
1969-08-27,Penumbral
1969-09-25,Penumbral
1970-02-21,Partial
1970-08-17,Partial
1971-02-10,Total
1971-08-06,Total
1972-01-30,Total
1972-07-26,Partial
1973-01-18,Penumbral
1973-06-15,Penumbral
1973-07-15,Penumbral
1973-12-10,Partial
1974-06-04,Partial
1974-11-29,Total
1975-05-25,Total
1975-11-18,Total
1976-05-13,Partial
1976-11-06,Penumbral
1977-04-04,Partial
1977-09-27,Penumbral
1978-03-24,Total
1978-09-16,Total
1979-03-13,Partial
1979-09-06,Total
1980-03-01,Penumbral
1980-07-27,Penumbral
1980-08-26,Penumbral
1981-01-20,Penumbral
1981-07-17,Partial
1982-01-09,Total
1982-07-06,Total
1982-12-30,Total
1983-06-25,Partial
1983-12-20,Penumbral
1984-05-15,Penumbral
1984-06-13,Penumbral
1984-11-08,Penumbral
1985-05-04,Total
1985-10-28,Total
1986-04-24,Total
1986-10-17,Total
1987-04-14,Penumbral
1987-10-07,Penumbral
1988-03-03,Penumbral
1988-08-27,Partial
1989-02-20,Total
1989-08-17,Total
1990-02-09,Total
1990-08-06,Partial
1991-01-30,Penumbral
1991-06-27,Penumbral
1991-07-26,Penumbral
1991-12-21,Partial
1992-06-15,Partial
1992-12-09,Total
1993-06-04,Total
1993-11-29,Total
1994-05-25,Partial
1994-11-18,Penumbral
1995-04-15,Partial
1995-10-08,Penumbral
1996-04-04,Total
1996-09-27,Total
1997-03-24,Partial
1997-09-16,Total
1998-03-13,Penumbral
1998-08-08,Penumbral
1998-09-06,Penumbral
1999-01-31,Penumbral
1999-07-28,Partial
2000-01-21,Total
2000-07-16,Total
2001-01-09,Total
2001-07-05,Partial
2001-12-30,Penumbral
2002-05-26,Penumbral
2002-06-24,Penumbral
2002-11-20,Penumbral
2003-05-16,Total
2003-11-09,Total
2004-05-04,Total
2004-10-28,Total
2005-04-24,Penumbral
2005-10-17,Partial
2006-03-14,Penumbral
2006-09-07,Partial
2007-03-03,Total
2007-08-28,Total
2008-02-21,Total
2008-08-16,Partial
2009-02-09,Penumbral
2009-07-07,Penumbral
2009-08-06,Penumbral
2009-12-31,Partial
2010-06-26,Partial
2010-12-21,Total
2011-06-15,Total
2011-12-10,Total
2012-06-04,Partial
2012-11-28,Penumbral
2013-04-25,Partial
2013-05-25,Penumbral
2013-10-18,Penumbral
2014-04-15,Total
2014-10-08,Total
2015-04-04,Total
2015-09-28,Total
2016-03-23,Penumbral
2016-09-16,Penumbral
2017-02-11,Penumbral
2017-08-07,Partial
2018-01-31,Total
2018-07-27,Total
2019-01-21,Total
2019-07-16,Partial
2020-01-10,Penumbral
2020-06-05,Penumbral
2020-07-05,Penumbral
2020-11-30,Penumbral
2021-05-26,Total
2021-11-19,Partial
2022-05-16,Total
2022-11-08,Total
2023-05-05,Penumbral
2023-10-28,Partial
2024-03-25,Penumbral
2024-09-18,Partial
2025-03-14,Total
2025-09-07,Total
2026-03-03,Total
2026-08-28,Partial
2027-02-20,Penumbral
2027-07-18,Penumbral
2027-08-17,Penumbral
2028-01-12,Partial
2028-07-06,Partial
2028-12-31,Total
2029-06-26,Total
2029-12-20,Total
2030-06-15,Partial
2030-12-09,Penumbral
