date,open,high,low,close,percent_change,volume,volume_percent_change
1928-01-03,17.76,17.76,17.76,17.76,0.3389830508474745,0.0,0.0
1928-01-04,17.72,17.72,17.72,17.72,-0.22522522522524513,0.0,0.0
1928-01-05,17.55,17.55,17.55,17.55,-0.959367945823919,0.0,0.0
1928-01-06,17.66,17.66,17.66,17.66,0.626780626780632,0.0,0.0
1928-01-07,17.68,17.68,17.68,17.68,0.11325028312569874,0.0,0.0
1928-01-09,17.5,17.5,17.5,17.5,-1.0180995475113086,0.0,0.0
1928-01-10,17.37,17.37,17.37,17.37,-0.742857142857134,0.0,0.0
1928-01-11,17.35,17.35,17.35,17.35,-0.11514104778352907,0.0,0.0
1928-01-12,17.47,17.47,17.47,17.47,0.6916426512968199,0.0,0.0
1928-01-13,17.58,17.58,17.58,17.58,0.629650829994266,0.0,0.0
1928-01-14,17.44,17.44,17.44,17.44,-0.796359499431154,0.0,0.0
1928-01-16,17.29,17.29,17.29,17.29,-0.8600917431192734,0.0,0.0
1928-01-17,17.3,17.3,17.3,17.3,0.05783689994216523,0.0,0.0
1928-01-18,17.26,17.26,17.26,17.26,-0.23121387283236983,0.0,0.0
1928-01-19,17.38,17.38,17.38,17.38,0.6952491309385689,0.0,0.0
1928-01-20,17.48,17.48,17.48,17.48,0.5753739930955293,0.0,0.0
1928-01-21,17.53,17.53,17.53,17.53,0.28604118993136307,0.0,0.0
1928-01-23,17.64,17.64,17.64,17.64,0.627495721620086,0.0,0.0
1928-01-24,17.71,17.71,17.71,17.71,0.3968253968253954,0.0,0.0
1928-01-25,17.52,17.52,17.52,17.52,-1.072840203274994,0.0,0.0
1928-01-26,17.63,17.63,17.63,17.63,0.6278538812785284,0.0,0.0
1928-01-27,17.69,17.69,17.69,17.69,0.340328984685212,0.0,0.0
1928-01-28,17.58,17.58,17.58,17.58,-0.6218202374222881,0.0,0.0
1928-01-30,17.49,17.49,17.49,17.49,-0.5119453924914641,0.0,0.0
1928-01-31,17.57,17.57,17.57,17.57,0.4574042309891446,0.0,0.0
1928-02-01,17.53,17.53,17.53,17.53,-0.22766078542970636,0.0,0.0
1928-02-02,17.63,17.63,17.63,17.63,0.5704506560182399,0.0,0.0
1928-02-03,17.4,17.4,17.4,17.4,-1.3045944412932498,0.0,0.0
1928-02-04,17.43,17.43,17.43,17.43,0.17241379310346527,0.0,0.0
1928-02-06,17.45,17.45,17.45,17.45,0.11474469305794432,0.0,0.0
1928-02-07,17.44,17.44,17.44,17.44,-0.05730659025786622,0.0,0.0
1928-02-08,17.49,17.49,17.49,17.49,0.28669724770640226,0.0,0.0
1928-02-09,17.55,17.55,17.55,17.55,0.34305317324185847,0.0,0.0
1928-02-10,17.54,17.54,17.54,17.54,-0.05698005698006048,0.0,0.0
1928-02-11,17.53,17.53,17.53,17.53,-0.057012542759393714,0.0,0.0
1928-02-14,17.44,17.44,17.44,17.44,-0.513405590416427,0.0,0.0
1928-02-15,17.4,17.4,17.4,17.4,-0.2293577981651529,0.0,0.0
1928-02-16,17.35,17.35,17.35,17.35,-0.2873563218390607,0.0,0.0
1928-02-17,17.04,17.04,17.04,17.04,-1.7867435158501532,0.0,0.0
1928-02-18,16.99,16.99,16.99,16.99,-0.2934272300469498,0.0,0.0
1928-02-20,16.95,16.95,16.95,16.95,-0.2354326074161195,0.0,0.0
1928-02-21,17.11,17.11,17.11,17.11,0.943952802359882,0.0,0.0
1928-02-23,17.13,17.13,17.13,17.13,0.11689070718876593,0.0,0.0
1928-02-24,17.18,17.18,17.18,17.18,0.29188558085231353,0.0,0.0
1928-02-25,17.19,17.19,17.19,17.19,0.058207217695005475,0.0,0.0
1928-02-27,17.11,17.11,17.11,17.11,-0.46538685282141445,0.0,0.0
1928-02-28,17.16,17.16,17.16,17.16,0.29222676797195923,0.0,0.0
1928-02-29,17.26,17.26,17.26,17.26,0.5827505827505908,0.0,0.0
1928-03-01,17.3,17.3,17.3,17.3,0.2317497103128563,0.0,0.0
1928-03-02,17.3,17.3,17.3,17.3,0.0,0.0,0.0
1928-03-03,17.42,17.42,17.42,17.42,0.6936416184971206,0.0,0.0
1928-03-05,17.57,17.57,17.57,17.57,0.8610792192881744,0.0,0.0
1928-03-06,17.67,17.67,17.67,17.67,0.569151963574277,0.0,0.0
1928-03-07,17.58,17.58,17.58,17.58,-0.5093378607810006,0.0,0.0
1928-03-08,17.64,17.64,17.64,17.64,0.34129692832765013,0.0,0.0
1928-03-09,17.93,17.93,17.93,17.93,1.643990929705219,0.0,0.0
1928-03-10,17.87,17.87,17.87,17.87,-0.3346346904629094,0.0,0.0
1928-03-12,18.0,18.0,18.0,18.0,0.7274762171236571,0.0,0.0
1928-03-13,17.92,17.92,17.92,17.92,-0.4444444444444362,0.0,0.0
1928-03-14,17.93,17.93,17.93,17.93,0.05580357142855874,0.0,0.0
1928-03-15,18.07,18.07,18.07,18.07,0.7808142777467886,0.0,0.0
1928-03-16,18.26,18.26,18.26,18.26,1.0514665190924255,0.0,0.0
1928-03-17,18.32,18.32,18.32,18.32,0.3285870755750153,0.0,0.0
1928-03-19,18.36,18.36,18.36,18.36,0.21834061135370675,0.0,0.0
1928-03-20,18.46,18.46,18.46,18.46,0.5446623093682046,0.0,0.0
1928-03-21,18.65,18.65,18.65,18.65,1.029252437703132,0.0,0.0
1928-03-22,18.6,18.6,18.6,18.6,-0.2680965147452974,0.0,0.0
1928-03-23,18.78,18.78,18.78,18.78,0.967741935483879,0.0,0.0
1928-03-24,18.79,18.79,18.79,18.79,0.05324813631522041,0.0,0.0
1928-03-26,19.05,19.05,19.05,19.05,1.3837147418839901,0.0,0.0
1928-03-27,18.94,18.94,18.94,18.94,-0.5774278215223028,0.0,0.0
1928-03-28,18.89,18.89,18.89,18.89,-0.2639915522703262,0.0,0.0
1928-03-29,18.95,18.95,18.95,18.95,0.31762837480147077,0.0,0.0
1928-03-30,19.28,19.28,19.28,19.28,1.7414248021108358,0.0,0.0
1928-03-31,19.13,19.13,19.13,19.13,-0.7780082987551951,0.0,0.0
1928-04-02,18.91,18.91,18.91,18.91,-1.1500261369576492,0.0,0.0
1928-04-03,19.02,19.02,19.02,19.02,0.5817028027498727,0.0,0.0
1928-04-04,18.99,18.99,18.99,18.99,-0.1577287066246158,0.0,0.0
1928-04-05,19.23,19.23,19.23,19.23,1.2638230647709525,0.0,0.0
1928-04-09,19.27,19.27,19.27,19.27,0.2080083203328087,0.0,0.0
1928-04-10,19.1,19.1,19.1,19.1,-0.8822003113648114,0.0,0.0
1928-04-11,19.44,19.44,19.44,19.44,1.7801047120418856,0.0,0.0
1928-04-12,19.41,19.41,19.41,19.41,-0.15432098765432167,0.0,0.0
1928-04-13,19.73,19.73,19.73,19.73,1.6486347243688915,0.0,0.0
1928-04-14,19.59,19.59,19.59,19.59,-0.7095793208312218,0.0,0.0
1928-04-16,19.68,19.68,19.68,19.68,0.45941807044409533,0.0,0.0
1928-04-17,19.52,19.52,19.52,19.52,-0.8130081300813052,0.0,0.0
1928-04-18,19.52,19.52,19.52,19.52,0.0,0.0,0.0
1928-04-19,19.63,19.63,19.63,19.63,0.563524590163933,0.0,0.0
1928-04-20,19.34,19.34,19.34,19.34,-1.4773306164034605,0.0,0.0
1928-04-23,19.15,19.15,19.15,19.15,-0.9824198552223384,0.0,0.0
1928-04-24,19.25,19.25,19.25,19.25,0.5221932114882533,0.0,0.0
1928-04-25,19.33,19.33,19.33,19.33,0.4155844155844024,0.0,0.0
1928-04-26,19.47,19.47,19.47,19.47,0.7242628039317189,0.0,0.0
